type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,0,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,17861,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,1,-6,5,-6,6,-6,6,-6,6,-6,6,-6,6,-5,6,-5,6,-5,6,-4,6,-4,7,-5,8,-5,8,-5,8,-5,8,-4,8,-4,7,-3,7,-3,8,-4,8,-4,8,-3,8,-3,8,-3,9,-3,10,-3,10,-2,5,-2,10,-3,10,-2,10,-2,10,-2,10,-2,11,-2,11,-2,11,-1,11,-1,11,-2,11,-2,11,-2,12,-3,12,-3,12,-3,12,-2,12,-3,13,-3,13,-3,12,-3,12,-3,12,-3,12,-4,12,-4,12,-5,12,-2,3,0,0,0,0,0,0,0,0,1,-4,3,-12,9,-33,7,-33,6,-33,5,-33,4,-33,4,-33,4,-33,3,-33,2,-32,1,-32,0,-32,0,-33,-1,-34,-2,-35,-3,-35,-4,-36,-5,-36,-6,-37,-6,-36,-7,-36,-8,-35,-8,-35,-9,-35,-8,-35,-9,-35,-10,-36,-11,-37,-13,-37,-15,-38,-15,-38,-16,-39,-16,-39,-17,-39,-17,-39,-18,-39,-19,-40,-19,-41,-19,-41,-20,-42,-20,-41,-19,-42,-19,-43,-19,-44,-19,-46,-19,-48,-20,-49,-20,-49,-20,-49,-19,-48,-19,-49,-18,-49,-17,-49,-17,-49,-16,-50,-14,-50,-13,-51,-11,-52,-4,-19,-1,-6,0,1,0,3,0,0,0,0,0,0,-2,-2,-1,-2,1,3,6,11,17,32,16,32,16,32,15,32,14,32,14,32,13,32,13,32,14,32,14,32,15,33,15,33,14,33,14,33,13,32,12,32,12,31,11,30,12,30,11,29,11,29,12,29,12,29,12,29,13,29,13,28,14,28,14,27,14,26,14,25,15,24,15,23,16,24,16,23,17,23,18,21,18,20,18,20,19,19,20,19,21,19,22,18,23,17,23,16,24,15,24,14,25,13,25,13,25,12,25,12,26,12,26,12,27,11,29,10,30,10,31,9,31,9,11,3]"
CSI_DATA,1,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,27881,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,2,6,9,6,9,7,9,7,9,6,9,6,9,6,9,6,9,6,8,7,8,8,8,9,8,9,8,8,8,9,8,9,8,9,7,9,7,9,7,9,8,9,8,9,8,10,7,11,7,12,7,12,8,6,3,12,7,13,7,13,7,13,7,13,7,13,8,13,8,13,8,13,8,14,8,15,8,14,8,14,8,14,8,15,9,15,9,15,10,15,10,14,10,14,11,14,11,13,11,14,11,14,11,13,11,12,12,3,3,0,0,0,0,0,0,0,0,0,0,5,9,22,38,25,37,28,34,27,34,26,33,27,32,28,33,30,33,29,31,28,29,28,29,30,29,33,30,33,30,34,29,37,29,40,30,38,29,36,27,39,26,41,25,40,24,39,23,39,25,39,27,41,28,44,26,46,25,48,25,48,24,48,23,48,23,50,23,51,21,51,21,51,25,53,25,55,25,56,25,56,25,57,25,58,28,58,29,58,30,60,31,61,32,62,32,61,32,58,32,56,33,57,35,58,37,58,38,56,39,55,42,53,43,51,45,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-1,-48,-3,-47,-3,-47,-4,-48,-5,-47,-7,-44,-7,-43,-8,-45,-8,-47,-8,-47,-9,-46,-9,-46,-8,-47,-8,-47,-10,-44,-12,-44,-10,-44,-8,-41,-9,-40,-9,-41,-10,-41,-10,-42,-10,-42,-10,-42,-10,-43,-9,-41,-7,-40,-6,-39,-6,-40,-5,-39,-4,-39,-3,-40,-3,-40,-2,-40,-1,-41,-1,-39,1,-38,3,-38,4,-38,5,-38,6,-38,8,-37,9,-37,11,-36,12,-34,12,-34,12,-34,13,-33,15,-35,16,-37,16,-36,16,-35,17,-36,17,-37,18,-38,20,-38,21,-37,23,-9,5]"
CSI_DATA,2,1a:00:00:00:00:00,-55,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,37853,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,1,3,6,4,6,4,6,4,6,4,6,4,6,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,6,4,6,4,6,5,6,5,6,4,6,4,7,4,7,4,8,5,4,2,8,4,8,4,9,4,8,4,8,4,9,4,9,5,9,5,9,4,9,4,9,5,9,5,9,5,9,5,9,6,10,6,10,6,10,6,9,6,9,6,9,7,9,7,9,7,9,7,8,7,8,7,2,2,0,0,0,0,0,0,0,0,-1,3,1,10,5,29,7,28,8,28,10,27,10,27,10,27,10,26,11,26,11,26,12,25,12,25,12,25,13,25,14,25,16,25,18,25,18,25,19,25,19,25,19,24,20,23,20,23,20,24,19,25,18,25,20,25,22,24,24,23,27,22,27,22,28,23,28,23,28,23,28,23,29,24,30,24,30,26,29,26,30,26,30,25,31,25,32,25,33,25,33,27,34,29,34,29,34,30,33,31,32,31,31,33,30,33,29,34,29,33,29,33,29,33,29,34,29,36,10,13,2,4,-1,-1,-2,-3,0,0,0,0,0,0,1,0,0,0,-4,-2,-11,-5,-30,-14,-30,-14,-30,-15,-29,-16,-28,-17,-28,-18,-27,-19,-27,-19,-27,-18,-28,-17,-28,-16,-28,-16,-28,-16,-28,-17,-27,-18,-26,-18,-26,-18,-25,-17,-25,-18,-24,-18,-24,-18,-24,-18,-25,-17,-26,-15,-26,-14,-26,-13,-26,-13,-25,-13,-25,-13,-25,-13,-25,-12,-25,-12,-26,-12,-25,-12,-26,-11,-25,-9,-25,-7,-26,-6,-26,-5,-27,-4,-27,-4,-27,-3,-27,-2,-26,-2,-26,-1,-25,-1,-25,-1,-25,0,-26,1,-26,2,-26,3,-27,3,-27,4,-28,4,-29,4,-29,5,-29,5,-11,2]"
CSI_DATA,3,1a:00:00:00:00:00,-55,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,47875,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,-3,0,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-2,-10,-2,-10,-3,-11,-3,-11,-2,-10,-3,-10,-3,-11,-4,-10,-3,-10,-4,-10,-4,-10,-3,-11,-4,-10,-4,-10,-5,-11,-5,-11,-5,-12,-3,-6,-6,-11,-6,-12,-7,-12,-7,-12,-6,-12,-6,-12,-6,-12,-6,-12,-6,-12,-7,-13,-7,-13,-7,-13,-6,-13,-6,-13,-7,-14,-7,-14,-7,-14,-6,-14,-6,-14,-5,-14,-5,-14,-5,-14,-5,-15,-5,-15,-4,-15,-4,-15,-1,-4,0,0,0,0,0,0,0,0,1,-4,5,-13,13,-35,12,-36,11,-36,10,-36,9,-35,9,-35,8,-35,7,-36,6,-35,6,-35,5,-35,5,-36,5,-37,4,-38,3,-40,2,-40,2,-40,0,-40,-1,-40,-2,-40,-3,-40,-4,-40,-4,-40,-3,-39,-3,-40,-4,-42,-5,-44,-6,-45,-7,-46,-7,-45,-8,-45,-10,-44,-12,-44,-12,-45,-13,-46,-13,-47,-13,-47,-13,-48,-13,-49,-13,-50,-12,-52,-11,-53,-11,-54,-11,-55,-12,-56,-12,-56,-12,-57,-11,-56,-10,-57,-8,-57,-8,-57,-7,-57,-6,-58,-4,-58,-1,-57,1,-57,3,-57,1,-21,0,-6,0,1,-1,3,0,0,0,0,0,0,-2,-3,-1,-2,2,3,6,12,18,34,18,34,18,35,17,35,16,35,15,35,13,35,13,36,13,36,13,37,14,37,14,36,13,36,14,35,14,35,13,35,13,34,12,34,12,33,12,33,12,33,13,33,13,34,13,34,12,33,12,32,12,31,13,30,14,29,15,29,16,28,17,27,17,27,17,27,18,27,18,26,19,25,19,25,20,23,21,23,23,22,24,21,25,20,24,20,24,19,24,18,24,17,25,17,27,16,27,16,27,16,28,16,28,16,30,15,32,14,34,13,34,13,12,4]"
CSI_DATA,4,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,57886,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-3,-4,-9,-14,-10,-13,-11,-13,-11,-13,-10,-13,-10,-13,-10,-13,-10,-12,-11,-12,-12,-12,-13,-12,-14,-12,-14,-11,-13,-12,-13,-12,-14,-11,-14,-10,-14,-10,-14,-10,-14,-11,-14,-11,-14,-10,-15,-10,-16,-9,-18,-10,-18,-10,-9,-5,-18,-9,-19,-10,-20,-9,-20,-9,-19,-9,-19,-10,-19,-10,-19,-10,-20,-10,-21,-10,-21,-10,-21,-10,-21,-10,-22,-11,-22,-12,-23,-12,-23,-12,-22,-13,-21,-14,-20,-14,-20,-15,-20,-15,-20,-15,-21,-15,-20,-15,-19,-16,-5,-4,0,0,0,0,0,0,0,0,0,0,-4,-7,-17,-26,-19,-25,-21,-24,-20,-23,-20,-22,-20,-21,-21,-22,-22,-22,-22,-20,-22,-19,-22,-19,-23,-19,-24,-19,-25,-19,-26,-19,-28,-17,-30,-18,-29,-18,-27,-17,-28,-17,-29,-16,-29,-14,-29,-14,-29,-15,-29,-17,-30,-17,-31,-15,-33,-13,-35,-13,-35,-12,-35,-12,-36,-12,-37,-12,-37,-11,-37,-11,-37,-13,-39,-13,-40,-13,-40,-13,-39,-13,-40,-12,-41,-13,-42,-15,-43,-15,-44,-16,-44,-17,-44,-17,-44,-16,-42,-17,-42,-19,-43,-20,-43,-20,-42,-21,-41,-21,-41,-22,-40,-23,-40,-24,-10,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,2,32,3,32,3,32,3,32,4,31,5,30,6,31,6,31,6,31,6,30,5,31,4,32,4,32,6,30,8,29,7,29,5,28,5,28,6,28,7,28,7,29,6,28,5,28,4,28,4,28,3,27,3,27,3,27,2,26,1,26,0,26,0,26,0,26,0,27,-1,26,-2,24,-3,24,-4,25,-5,25,-6,25,-7,25,-8,25,-9,24,-10,23,-9,23,-9,23,-9,22,-11,23,-12,24,-12,23,-13,23,-14,23,-14,23,-14,24,-16,24,-18,24,-18,6,-5]"
CSI_DATA,5,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,69300,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,-3,1,-9,1,-9,0,-9,1,-9,1,-9,1,-9,0,-9,0,-9,0,-9,0,-9,0,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-2,-10,-2,-9,-2,-9,-2,-10,-1,-10,-2,-10,-2,-10,-3,-10,-3,-11,-3,-11,-2,-6,-3,-11,-4,-11,-4,-12,-4,-11,-4,-11,-4,-12,-4,-12,-4,-12,-4,-12,-4,-12,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-14,-4,-14,-4,-14,-3,-13,-2,-13,-2,-14,-2,-14,-2,-14,-2,-14,-1,-13,-1,-13,0,-4,0,0,0,0,0,0,0,0,0,0,0,-9,3,-35,1,-35,-1,-34,-1,-34,-1,-34,-1,-33,-3,-33,-4,-34,-4,-33,-4,-32,-4,-31,-5,-32,-6,-34,-6,-35,-7,-34,-10,-34,-11,-36,-10,-35,-9,-33,-12,-35,-13,-36,-12,-34,-13,-32,-13,-34,-12,-35,-13,-37,-15,-37,-16,-37,-17,-38,-18,-38,-18,-37,-19,-37,-21,-37,-22,-37,-22,-37,-20,-39,-21,-40,-22,-40,-21,-41,-21,-41,-21,-43,-22,-46,-22,-46,-21,-47,-21,-47,-21,-47,-21,-47,-21,-48,-19,-47,-18,-46,-17,-48,-17,-50,-16,-50,-15,-51,-14,-51,-12,-51,-10,-51,-3,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,27,20,26,20,28,20,30,22,27,25,25,24,25,23,26,23,26,24,26,25,26,24,27,22,28,22,26,24,23,24,23,23,23,21,23,21,22,22,21,24,22,24,23,24,23,23,23,22,23,22,22,22,22,21,21,19,22,19,23,18,22,17,22,18,22,18,23,17,25,17,24,16,23,15,24,14,25,13,25,13,26,12,27,10,28,9,28,8,26,8,25,8,26,8,27,6,29,5,30,6,29,5,28,5,29,5,31,3,33,1,33,1,34,2,8,0]"
CSI_DATA,6,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,77883,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-1,3,-2,15,-1,15,0,15,-1,16,-1,16,-1,15,-1,15,-1,15,0,15,0,15,1,16,2,16,2,16,2,16,2,16,3,16,4,16,3,15,4,15,3,16,3,16,4,16,4,16,5,17,6,18,5,18,3,9,7,18,8,18,8,19,8,18,8,18,8,19,8,19,8,19,8,19,8,20,8,21,8,20,8,20,8,21,8,22,9,23,9,23,8,23,7,23,6,23,6,23,5,23,5,23,4,24,3,23,3,23,0,5,0,0,0,0,0,0,0,0,0,0,-2,6,-7,29,-5,30,-3,30,-2,29,-3,29,-2,28,-1,29,0,30,0,29,0,27,0,27,1,28,2,30,2,31,2,31,5,31,6,32,5,30,5,28,9,30,10,31,8,30,9,29,9,30,8,31,9,32,11,34,12,34,12,34,13,34,13,32,14,32,16,33,18,33,18,33,16,35,17,36,18,36,16,36,16,37,18,38,17,40,17,40,17,40,17,40,18,42,18,42,17,42,15,41,13,41,13,43,14,43,14,44,12,45,10,45,8,44,6,43,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-7,-22,-25,-20,-25,-21,-25,-22,-26,-20,-27,-18,-26,-17,-26,-17,-27,-18,-28,-18,-28,-18,-28,-18,-27,-18,-27,-16,-27,-15,-26,-17,-26,-18,-25,-16,-25,-15,-25,-15,-25,-15,-25,-16,-26,-17,-26,-17,-26,-17,-26,-16,-24,-15,-22,-16,-22,-17,-22,-18,-21,-18,-20,-19,-20,-19,-20,-19,-20,-20,-20,-20,-19,-21,-18,-21,-16,-22,-16,-21,-15,-22,-14,-23,-13,-24,-13,-24,-12,-22,-12,-22,-11,-23,-11,-23,-9,-25,-9,-26,-10,-26,-9,-24,-8,-25,-8,-28,-8,-29,-7,-29,-6,-30,-6,-8,-2]"
CSI_DATA,7,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,87874,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,1,-7,6,-7,6,-7,6,-7,7,-7,6,-7,6,-7,6,-7,6,-7,7,-6,7,-7,8,-6,8,-6,8,-6,8,-6,8,-5,9,-5,8,-5,8,-5,8,-5,9,-5,9,-5,9,-5,9,-4,10,-5,10,-5,11,-2,5,-4,11,-4,11,-4,12,-3,12,-4,12,-4,12,-4,12,-4,12,-4,12,-4,13,-4,13,-4,13,-4,12,-5,13,-5,13,-5,14,-5,14,-5,14,-5,13,-6,13,-6,13,-6,13,-6,13,-6,13,-7,13,-7,12,-2,3,0,0,0,0,0,0,0,0,0,0,-7,5,-28,23,-27,26,-26,27,-26,27,-25,26,-24,27,-24,28,-24,29,-22,28,-22,27,-22,27,-21,29,-21,31,-21,32,-20,32,-18,34,-18,37,-18,35,-17,33,-16,35,-15,37,-14,36,-13,36,-14,36,-16,37,-15,38,-13,40,-12,42,-12,43,-12,44,-10,43,-10,43,-10,45,-8,46,-7,45,-9,46,-9,48,-9,49,-10,49,-10,49,-10,51,-10,53,-10,53,-10,53,-11,54,-13,55,-14,55,-14,56,-15,54,-16,53,-17,54,-18,54,-18,54,-19,53,-20,53,-22,52,-24,52,-7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-11,-3,-42,-1,-39,0,-39,-1,-39,0,-39,2,-40,3,-41,4,-43,4,-43,3,-42,3,-41,3,-41,2,-41,2,-39,5,-36,4,-36,2,-37,2,-38,4,-37,3,-37,2,-37,3,-37,3,-37,2,-37,2,-38,2,-37,2,-35,1,-35,-1,-35,-2,-34,-3,-33,-3,-34,-4,-34,-4,-33,-5,-34,-6,-33,-8,-32,-10,-31,-11,-31,-11,-32,-11,-32,-12,-31,-13,-31,-14,-30,-14,-29,-14,-28,-15,-29,-16,-28,-18,-29,-18,-29,-19,-29,-19,-28,-19,-30,-21,-30,-23,-29,-25,-28,-26,-28,-7,-7]"
CSI_DATA,8,1a:00:00:00:00:00,-54,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,97865,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-3,-1,-12,-1,-12,-1,-12,0,-13,0,-12,0,-12,0,-12,0,-12,0,-12,0,-12,1,-12,2,-13,2,-13,2,-13,2,-13,2,-13,3,-12,3,-12,3,-12,3,-13,3,-13,3,-13,3,-12,4,-12,5,-14,5,-14,5,-7,3,-14,6,-14,6,-14,7,-14,7,-14,7,-14,6,-15,6,-15,6,-15,7,-15,7,-15,8,-15,7,-16,7,-16,7,-16,7,-17,8,-17,8,-17,7,-17,6,-17,5,-17,5,-17,5,-17,5,-18,5,-18,5,-18,4,-5,0,0,0,0,0,0,0,0,0,0,0,-6,0,-24,0,-24,1,-24,3,-23,4,-23,3,-22,3,-23,4,-23,5,-23,5,-22,5,-22,6,-22,7,-22,8,-24,7,-24,8,-23,9,-23,9,-22,8,-21,8,-22,11,-23,13,-22,11,-21,11,-22,12,-22,12,-22,13,-23,14,-24,15,-25,15,-24,16,-23,15,-23,16,-22,18,-22,20,-22,20,-24,19,-23,20,-22,21,-23,21,-23,20,-25,20,-27,20,-27,19,-27,19,-27,20,-27,22,-28,23,-29,22,-29,21,-28,21,-28,21,-29,21,-29,21,-31,19,-32,17,-32,15,-32,14,-8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,15,-19,15,-19,15,-20,15,-20,16,-18,17,-18,16,-18,16,-19,16,-19,17,-18,18,-18,17,-17,17,-17,17,-16,16,-15,16,-17,16,-18,16,-16,16,-15,15,-16,15,-16,15,-16,16,-16,17,-16,16,-17,15,-16,14,-15,13,-16,13,-17,12,-17,12,-17,12,-17,11,-17,10,-18,10,-18,9,-19,8,-19,8,-18,8,-17,7,-17,6,-18,5,-20,5,-21,5,-20,4,-20,3,-20,2,-20,2,-20,1,-20,2,-21,2,-20,2,-20,2,-21,0,-23,-1,-23,-2,-23,-1,-24,-1,-6]"
CSI_DATA,9,1a:00:00:00:00:00,-53,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,107895,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,-4,1,-16,1,-16,0,-17,0,-17,1,-17,1,-16,0,-16,0,-16,0,-16,-1,-16,-2,-17,-3,-17,-3,-18,-2,-17,-3,-17,-4,-18,-4,-17,-4,-16,-4,-16,-4,-17,-4,-17,-4,-17,-5,-17,-6,-17,-7,-19,-7,-19,-4,-10,-8,-19,-8,-20,-9,-20,-9,-20,-8,-20,-8,-20,-8,-20,-8,-20,-9,-21,-9,-21,-9,-22,-9,-21,-9,-22,-9,-22,-9,-23,-9,-24,-9,-24,-8,-24,-7,-23,-6,-24,-6,-24,-5,-24,-6,-24,-6,-25,-5,-24,-4,-24,-1,-6,0,0,0,0,0,0,0,0,0,0,0,-8,2,-30,1,-31,-1,-31,-1,-31,-1,-30,-2,-29,-3,-30,-4,-31,-4,-30,-4,-28,-4,-28,-4,-29,-5,-30,-6,-32,-7,-31,-10,-31,-11,-32,-9,-31,-9,-30,-12,-31,-13,-32,-12,-31,-12,-29,-12,-30,-11,-32,-12,-33,-14,-34,-16,-34,-17,-33,-17,-33,-17,-32,-17,-32,-19,-33,-21,-33,-21,-33,-19,-34,-19,-35,-20,-36,-20,-37,-20,-37,-21,-38,-21,-40,-21,-40,-21,-40,-20,-40,-21,-42,-21,-42,-20,-43,-18,-42,-16,-42,-16,-44,-16,-44,-16,-44,-16,-45,-14,-45,-12,-44,-10,-43,-3,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,25,20,24,20,24,21,25,21,23,22,20,22,19,22,19,23,21,23,22,24,21,24,22,23,23,23,20,23,18,23,20,23,21,22,19,22,18,22,18,22,18,23,19,23,19,22,19,22,19,22,19,20,18,19,18,18,20,18,20,17,20,16,20,17,20,17,20,16,21,16,21,15,22,14,22,13,22,12,22,11,23,11,24,9,25,9,24,9,22,8,22,8,23,8,23,7,25,6,26,5,25,4,24,4,25,4,28,3,29,1,29,1,29,2,7,0]"
